arduino_id,command_psi,sample_idx,sensor_idx,raw_counts,psi_est
3,0,0,0,3837,1.6457812500000004
3,0,0,1,3828,1.633125
3,0,0,2,3932,1.7793749999999997
3,0,0,3,3825,1.6289062499999998
3,0,1,0,3840,1.65
3,0,1,1,3828,1.633125
3,0,1,2,3930,1.7765625000000005
3,0,1,3,3824,1.6274999999999997
3,0,2,0,3838,1.6471875000000005
3,0,2,1,3829,1.63453125
3,0,2,2,3938,1.7878125
3,0,2,3,3821,1.6232812500000005
3,0,3,0,3842,1.6528125
3,0,3,1,3826,1.6303124999999998
3,0,3,2,3937,1.78640625
3,0,3,3,3821,1.6232812500000005
3,0,4,0,3844,1.6556250000000001
3,0,4,1,3821,1.6232812500000005
3,0,4,2,3929,1.7751562500000004
3,0,4,3,3821,1.6232812500000005
3,0,5,0,3841,1.65140625
3,0,5,1,3826,1.6303124999999998
3,0,5,2,3938,1.7878125
3,0,5,3,3820,1.6218750000000004
3,0,6,0,3842,1.6528125
3,0,6,1,3822,1.6246875000000005
3,0,6,2,3938,1.7878125
3,0,6,3,3821,1.6232812500000005
3,0,7,0,3843,1.65421875
3,0,7,1,3822,1.6246875000000005
3,0,7,2,3927,1.7723437500000003
3,0,7,3,3822,1.6246875000000005
3,0,8,0,3842,1.6528125
3,0,8,1,3824,1.6274999999999997
3,0,8,2,3935,1.7835937499999999
3,0,8,3,3821,1.6232812500000005
3,0,9,0,3842,1.6528125
3,0,9,1,3828,1.633125
3,0,9,2,3937,1.78640625
3,0,9,3,3821,1.6232812500000005
3,0,10,0,3844,1.6556250000000001
3,0,10,1,3828,1.633125
3,0,10,2,3926,1.7709375000000003
3,0,10,3,3823,1.6260937499999997
3,0,11,0,3842,1.6528125
3,0,11,1,3830,1.6359375
3,0,11,2,3936,1.785
3,0,11,3,3820,1.6218750000000004
3,0,12,0,3835,1.6429687500000003
3,0,12,1,3828,1.633125
3,0,12,2,3936,1.785
3,0,12,3,3821,1.6232812500000005
3,0,13,0,3839,1.6485937499999999
3,0,13,1,3829,1.63453125
3,0,13,2,3930,1.7765625000000005
3,0,13,3,3828,1.633125
3,0,14,0,3932,1.7793749999999997
3,0,14,1,3902,1.7371874999999997
3,0,14,2,3997,1.8707812499999998
3,0,14,3,3887,1.7160937499999998
3,0,15,0,3944,1.7962500000000003
3,0,15,1,3925,1.7695312500000002
3,0,15,2,4033,1.92140625
3,0,15,3,3924,1.7681250000000002
3,0,16,0,3946,1.7990625000000005
3,0,16,1,3935,1.7835937499999999
3,0,16,2,4038,1.9284375000000002
3,0,16,3,3931,1.7779687500000005
3,0,17,0,3951,1.8060937499999998
3,0,17,1,3939,1.78921875
3,0,17,2,4046,1.9396875
3,0,17,3,3932,1.7793749999999997
3,0,18,0,3957,1.8145312500000002
3,0,18,1,3944,1.7962500000000003
3,0,18,2,4052,1.9481250000000003
3,0,18,3,3937,1.78640625
3,0,19,0,3958,1.8159375000000002
3,0,19,1,3945,1.7976562500000004
3,0,19,2,4045,1.93828125
3,0,19,3,3938,1.7878125
3,0,20,0,3958,1.8159375000000002
3,0,20,1,3945,1.7976562500000004
3,0,20,2,4053,1.9495312500000004
3,0,20,3,3941,1.7920312500000002
3,0,21,0,3963,1.8229687500000005
3,0,21,1,3944,1.7962500000000003
3,0,21,2,4052,1.9481250000000003
3,0,21,3,3944,1.7962500000000003
3,0,22,0,3964,1.8243749999999999
3,0,22,1,3950,1.8046874999999998
3,0,22,2,4052,1.9481250000000003
3,0,22,3,3951,1.8060937499999998
3,0,23,0,3976,1.8412500000000005
3,0,23,1,3965,1.82578125
3,0,23,2,4071,1.9748437500000005
3,0,23,3,3959,1.8173437500000003
3,0,24,0,3990,1.8609375000000004
3,0,24,1,3976,1.8412500000000005
