time,col0_lv0,col0_lv1,col0_lv2,col0_lv3,col0_lv4,col1_lv0,col1_lv1,col1_lv2,col1_lv3,col1_lv4,col2_lv0,col2_lv1,col2_lv2,col2_lv3,col2_lv4,col3_lv0,col3_lv1,col3_lv2,col3_lv3,col3_lv4
0.260000,2.3183,2.3183,2.3183,2.3183,2.3183,1.9865,1.9865,1.9865,1.9865,1.9865,4.0817,4.0817,4.0817,4.0817,4.0817,4.4135,4.4135,4.4135,4.4135,4.4135
0.270000,2.2881,2.2881,2.2881,2.2881,2.2881,2.0090,2.0090,2.0090,2.0090,2.0090,4.1119,4.1119,4.1119,4.1119,4.1119,4.3910,4.3910,4.3910,4.3910,4.3910
0.280000,2.2585,2.2585,2.2585,2.2585,2.2585,2.0323,2.0323,2.0323,2.0323,2.0323,4.1415,4.1415,4.1415,4.1415,4.1415,4.3677,4.3677,4.3677,4.3677,4.3677
0.290000,2.2294,2.2294,2.2294,2.2294,2.2294,2.0563,2.0563,2.0563,2.0563,2.0563,4.1706,4.1706,4.1706,4.1706,4.1706,4.3437,4.3437,4.3437,4.3437,4.3437
0.300000,2.2010,2.2010,2.2010,2.2010,2.2010,2.0811,2.0811,2.0811,2.0811,2.0811,4.1990,4.1990,4.1990,4.1990,4.1990,4.3189,4.3189,4.3189,4.3189,4.3189
0.310000,2.1732,2.1732,2.1732,2.1732,2.1732,2.1065,2.1065,2.1065,2.1065,2.1065,4.2268,4.2268,4.2268,4.2268,4.2268,4.2935,4.2935,4.2935,4.2935,4.2935
0.320000,2.1460,2.1460,2.1460,2.1460,2.1460,2.1327,2.1327,2.1327,2.1327,2.1327,4.2540,4.2540,4.2540,4.2540,4.2540,4.2673,4.2673,4.2673,4.2673,4.2673
0.330000,2.1195,2.1195,2.1195,2.1195,2.1195,2.1595,2.1595,2.1595,2.1595,2.1595,4.2805,4.2805,4.2805,4.2805,4.2805,4.2405,4.2405,4.2405,4.2405,4.2405
0.340000,2.0937,2.0937,2.0937,2.0937,2.0937,2.1870,2.1870,2.1870,2.1870,2.1870,4.3063,4.3063,4.3063,4.3063,4.3063,4.2130,4.2130,4.2130,4.2130,4.2130
0.350000,2.0686,2.0686,2.0686,2.0686,2.0686,2.2151,2.2151,2.2151,2.2151,2.2151,4.3314,4.3314,4.3314,4.3314,4.3314,4.1849,4.1849,4.1849,4.1849,4.1849
