step_id,time,desired_p_3,desired_p_8,measured_p_3_1,measured_p_3_2,measured_p_3_3,measured_p_3_4,measured_p_8_1,measured_p_8_2,measured_p_8_3,measured_p_8_4
352875,0.016874,0.0000,0.0000,4.3641,4.8338,-0.0741,-0.0333,0.3970,0.3928,0.3956,0.3956
352876,0.027113,0.0000,0.0000,4.3641,4.8338,-0.0741,-0.0333,0.3970,0.3928,0.3956,0.3956
352877,0.037844,0.0000,0.0000,4.3613,4.8323,-0.0712,-0.0333,0.3900,0.3928,0.4027,0.4069
352878,0.047994,0.0000,0.0000,4.3613,4.8323,-0.0712,-0.0333,0.3900,0.3928,0.4027,0.4069
352879,0.066657,0.0000,0.0000,4.3613,4.8323,-0.0712,-0.0333,0.3900,0.3928,0.4027,0.4069
352880,0.078086,0.0000,0.0000,4.3613,4.8323,-0.0712,-0.0333,0.3900,0.3928,0.4027,0.4069
352881,0.092983,0.0000,0.0000,4.3613,4.8323,-0.0712,-0.0333,0.3900,0.3928,0.4027,0.4069
352882,0.107261,0.0000,0.0002,4.3655,4.8309,-0.0712,-0.0333,0.3872,0.3886,0.3900,0.3914
352883,0.118092,0.0000,0.0002,4.3655,4.8309,-0.0712,-0.0333,0.3872,0.3886,0.3900,0.3914
352884,0.128269,0.0000,0.0002,4.3655,4.8309,-0.0712,-0.0333,0.3872,0.3886,0.3900,0.3914
352885,0.138432,0.0000,0.0002,4.3655,4.8309,-0.0712,-0.0333,0.3872,0.3886,0.3900,0.3914
352886,0.148610,0.0000,0.0002,4.3655,4.8309,-0.0712,-0.0333,0.3872,0.3886,0.3900,0.3914
352887,0.158765,0.0000,0.0008,4.3641,4.8338,-0.0755,-0.0375,0.3773,0.3942,0.3984,0.3956
352888,0.168926,0.0000,0.0008,4.3641,4.8338,-0.0755,-0.0375,0.3773,0.3942,0.3984,0.3956
352889,0.179146,0.0000,0.0008,4.3641,4.8338,-0.0755,-0.0375,0.3773,0.3942,0.3984,0.3956
352890,0.189439,0.0000,0.0008,4.3641,4.8338,-0.0755,-0.0375,0.3773,0.3942,0.3984,0.3956
352891,0.199597,0.0000,0.0008,4.3641,4.8338,-0.0755,-0.0375,0.3773,0.3942,0.3984,0.3956
352892,0.209879,0.0000,0.0017,4.3655,4.8309,-0.0698,-0.0375,0.3900,0.3928,0.4069,0.3998
352893,0.220198,0.0000,0.0017,4.3655,4.8309,-0.0698,-0.0375,0.3900,0.3928,0.4069,0.3998
352894,0.230513,0.0000,0.0017,4.3655,4.8309,-0.0698,-0.0375,0.3900,0.3928,0.4069,0.3998
352895,0.240775,0.0000,0.0017,4.3655,4.8309,-0.0698,-0.0375,0.3900,0.3928,0.4069,0.3998
352896,0.258118,0.0000,0.0017,4.3655,4.8309,-0.0698,-0.0375,0.3900,0.3928,0.4069,0.3998
352897,0.268445,0.0000,0.0030,4.3641,4.8309,-0.0727,-0.0389,0.3998,0.3900,0.4012,0.3984
352898,0.282552,0.0000,0.0030,4.3641,4.8309,-0.0727,-0.0389,0.3998,0.3900,0.4012,0.3984
352899,0.297763,0.0000,0.0030,4.3641,4.8309,-0.0727,-0.0389,0.3998,0.3900,0.4012,0.3984
352900,0.318147,0.0000,0.0030,4.3641,4.8309,-0.0727,-0.0389,0.3998,0.3900,0.4012,0.3984
352901,0.335375,0.0000,0.0030,4.3641,4.8309,-0.0727,-0.0389,0.3998,0.3900,0.4012,0.3984
352902,0.345553,0.0000,0.0051,4.3655,4.8338,-0.0727,-0.0361,0.3886,0.3942,0.3844,0.3858
352903,0.357817,0.0000,0.0051,4.3655,4.8338,-0.0727,-0.0361,0.3886,0.3942,0.3844,0.3858
352904,0.368010,0.0000,0.0051,4.3655,4.8338,-0.0727,-0.0361,0.3886,0.3942,0.3844,0.3858
352905,0.378182,0.0000,0.0051,4.3655,4.8338,-0.0727,-0.0361,0.3886,0.3942,0.3844,0.3858
352906,0.388308,0.0000,0.0082,4.3641,4.8323,-0.0727,-0.0375,0.3942,0.3900,0.4055,0.3872
352907,0.398428,0.0000,0.0082,4.3641,4.8323,-0.0727,-0.0375,0.3942,0.3900,0.4055,0.3872
352908,0.408523,0.0000,0.0082,4.3641,4.8323,-0.0727,-0.0375,0.3942,0.3900,0.4055,0.3872
352909,0.418636,0.0000,0.0082,4.3641,4.8323,-0.0727,-0.0375,0.3942,0.3900,0.4055,0.3872
352910,0.428751,0.0000,0.0082,4.3641,4.8323,-0.0727,-0.0375,0.3942,0.3900,0.4055,0.3872
352911,0.438964,0.0000,0.0108,4.3613,4.8295,-0.0755,-0.0375,0.3900,0.3928,0.4055,0.4041
352912,0.449225,0.0000,0.0108,4.3613,4.8295,-0.0755,-0.0375,0.3900,0.3928,0.4055,0.4041
352913,0.459495,0.0000,0.0108,4.3613,4.8295,-0.0755,-0.0375,0.3900,0.3928,0.4055,0.4041
352914,0.469809,0.0000,0.0108,4.3613,4.8295,-0.0755,-0.0375,0.3900,0.3928,0.4055,0.4041
352915,0.489671,0.0000,0.0108,4.3613,4.8295,-0.0755,-0.0375,0.3900,0.3928,0.4055,0.4041
352916,0.504724,0.0000,0.0108,4.3613,4.8295,-0.0755,-0.0375,0.3900,0.3928,0.4055,0.4041
352917,0.514998,0.0000,0.0138,4.3655,4.8338,-0.0741,-0.0389,0.3914,0.3998,0.3956,0.4055
352918,0.527396,0.0000,0.0138,4.3655,4.8338,-0.0741,-0.0389,0.3914,0.3998,0.3956,0.4055
352919,0.537755,0.0000,0.0138,4.3655,4.8338,-0.0741,-0.0389,0.3914,0.3998,0.3956,0.4055
352920,0.551183,0.0000,0.0138,4.3655,4.8338,-0.0741,-0.0389,0.3914,0.3998,0.3956,0.4055
352921,0.565215,0.0000,0.0138,4.3655,4.8338,-0.0741,-0.0389,0.3914,0.3998,0.3956,0.4055
352922,0.576057,0.0000,0.0138,4.3655,4.8338,-0.0741,-0.0389,0.3914,0.3998,0.3956,0.4055
352923,0.586287,0.0000,0.0190,4.3641,4.8380,-0.0727,-0.0389,0.3745,0.3928,0.3858,0.3759
352924,0.596469,0.0000,0.0190,4.3641,4.8380,-0.0727,-0.0389,0.3745,0.3928,0.3858,0.3759
352925,0.606711,0.0000,0.0190,4.3641,4.8380,-0.0727,-0.0389,0.3745,0.3928,0.3858,0.3759
352926,0.616915,0.0000,0.0190,4.3641,4.8380,-0.0727,-0.0389,0.3745,0.3928,0.3858,0.3759
352927,0.627057,0.0000,0.0190,4.3641,4.8380,-0.0727,-0.0389,0.3745,0.3928,0.3858,0.3759
352928,0.637223,0.0000,0.0235,4.3669,4.8352,-0.0727,-0.0375,0.3942,0.3984,0.4083,0.3984
352929,0.647463,0.0000,0.0235,4.3669,4.8352,-0.0727,-0.0375,0.3942,0.3984,0.4083,0.3984
352930,0.657630,0.0000,0.0235,4.3669,4.8352,-0.0727,-0.0375,0.3942,0.3984,0.4083,0.3984
352931,0.667838,0.0000,0.0235,4.3669,4.8352,-0.0727,-0.0375,0.3942,0.3984,0.4083,0.3984
352932,0.678129,0.0000,0.0235,4.3669,4.8352,-0.0727,-0.0375,0.3942,0.3984,0.4083,0.3984
352933,0.688473,0.0000,0.0279,4.3641,4.8366,-0.0741,-0.0361,0.3886,0.3914,0.4012,0.4041
352934,0.698807,0.0000,0.0279,4.3641,4.8366,-0.0741,-0.0361,0.3886,0.3914,0.4012,0.4041
352935,0.713114,0.0000,0.0279,4.3641,4.8366,-0.0741,-0.0361,0.3886,0.3914,0.4012,0.4041
352936,0.728358,0.0000,0.0279,4.3641,4.8366,-0.0741,-0.0361,0.3886,0.3914,0.4012,0.4041
352937,0.738915,0.0000,0.0326,4.3613,4.8352,-0.0741,-0.0291,0.3900,0.3886,0.4041,0.3984
352938,0.751615,0.0000,0.0326,4.3613,4.8352,-0.0741,-0.0291,0.3900,0.3886,0.4041,0.3984
352939,0.765291,0.0000,0.0326,4.3613,4.8352,-0.0741,-0.0291,0.3900,0.3886,0.4041,0.3984
352940,0.775790,0.0000,0.0326,4.3613,4.8352,-0.0741,-0.0291,0.3900,0.3886,0.4041,0.3984
352941,0.787473,0.0000,0.0326,4.3613,4.8352,-0.0741,-0.0291,0.3900,0.3886,0.4041,0.3984
352942,0.798269,0.0000,0.0326,4.3613,4.8352,-0.0741,-0.0291,0.3900,0.3886,0.4041,0.3984
352943,0.808460,0.0000,0.0386,4.3528,4.8309,-0.0741,-0.0291,0.3844,0.3942,0.3900,0.3956
352944,0.818632,0.0000,0.0386,4.3528,4.8309,-0.0741,-0.0291,0.3844,0.3942,0.3900,0.3956
