step_id,time,desired_p_3,desired_p_8,measured_p_3_1,measured_p_3_2,measured_p_3_3,measured_p_3_4,measured_p_8_1,measured_p_8_2,measured_p_8_3,measured_p_8_4
69899,0.022164,0.0000,0.0000,4.3134,4.8338,-0.0727,-0.0375,0.3970,0.4027,0.4041,0.4041
69900,0.036302,0.0000,0.0000,4.3134,4.8338,-0.0727,-0.0375,0.3970,0.4027,0.4041,0.4041
69901,0.051791,0.0000,0.0000,4.3177,4.8323,-0.0741,-0.0375,0.3998,0.4012,0.4012,0.4069
69902,0.065244,0.0000,0.0000,4.3177,4.8323,-0.0741,-0.0375,0.3998,0.4012,0.4012,0.4069
69903,0.077447,0.0000,0.0000,4.3177,4.8323,-0.0741,-0.0375,0.3998,0.4012,0.4012,0.4069
69904,0.101553,0.0000,0.0000,4.3177,4.8323,-0.0741,-0.0375,0.3998,0.4012,0.4012,0.4069
69905,0.114967,0.0000,0.0000,4.3177,4.8323,-0.0741,-0.0375,0.3998,0.4012,0.4012,0.4069
69906,0.127531,0.0000,0.0000,4.3177,4.8323,-0.0741,-0.0375,0.3998,0.4012,0.4012,0.4069
69907,0.144732,0.0000,0.0653,4.3163,4.8338,-0.0755,-0.0389,0.3759,0.3886,0.3830,0.3872
69908,0.168319,0.0000,0.0653,4.3163,4.8338,-0.0755,-0.0389,0.3759,0.3886,0.3830,0.3872
69909,0.183513,0.0000,0.0653,4.3163,4.8338,-0.0755,-0.0389,0.3759,0.3886,0.3830,0.3872
69910,0.204199,0.0000,0.1379,4.3148,4.8352,-0.0741,-0.0389,0.3928,0.3998,0.4012,0.3942
69911,0.220151,0.0000,0.1379,4.3148,4.8352,-0.0741,-0.0389,0.3928,0.3998,0.4012,0.3942
69912,0.230292,0.0000,0.1379,4.3148,4.8352,-0.0741,-0.0389,0.3928,0.3998,0.4012,0.3942
69913,0.248327,0.0000,0.1379,4.3148,4.8352,-0.0741,-0.0389,0.3928,0.3998,0.4012,0.3942
69914,0.258795,0.0000,0.2039,4.3177,4.8323,-0.0741,-0.0291,0.3970,0.3886,0.4027,0.3998
69915,0.269106,0.0000,0.2039,4.3177,4.8323,-0.0741,-0.0291,0.3970,0.3886,0.4027,0.3998
69916,0.279268,0.0000,0.2039,4.3177,4.8323,-0.0741,-0.0291,0.3970,0.3886,0.4027,0.3998
69917,0.289404,0.0000,0.2039,4.3177,4.8323,-0.0741,-0.0291,0.3970,0.3886,0.4027,0.3998
69918,0.299530,0.0000,0.2039,4.3177,4.8323,-0.0741,-0.0291,0.3970,0.3886,0.4027,0.3998
69919,0.309643,0.0000,0.2609,4.3078,4.8338,-0.0727,-0.0277,0.3956,0.4027,0.4069,0.4041
69920,0.319808,0.0000,0.2609,4.3078,4.8338,-0.0727,-0.0277,0.3956,0.4027,0.4069,0.4041
69921,0.330022,0.0000,0.2609,4.3078,4.8338,-0.0727,-0.0277,0.3956,0.4027,0.4069,0.4041
69922,0.340237,0.0000,0.2609,4.3078,4.8338,-0.0727,-0.0277,0.3956,0.4027,0.4069,0.4041
69923,0.350500,0.0000,0.2609,4.3078,4.8338,-0.0727,-0.0277,0.3956,0.4027,0.4069,0.4041
69924,0.360709,0.0000,0.3126,4.3120,4.8352,-0.0741,-0.0291,0.3970,0.4012,0.4083,0.4111
69925,0.375976,0.0000,0.3126,4.3120,4.8352,-0.0741,-0.0291,0.3970,0.4012,0.4083,0.4111
69926,0.393191,0.0000,0.3126,4.3120,4.8352,-0.0741,-0.0291,0.3970,0.4012,0.4083,0.4111
69927,0.403542,0.0000,0.3126,4.3120,4.8352,-0.0741,-0.0291,0.3970,0.4012,0.4083,0.4111
69928,0.418737,0.0000,0.3646,4.3092,4.8366,-0.0755,-0.0291,0.3998,0.3970,0.4041,0.4069
69929,0.437910,0.0000,0.3646,4.3092,4.8366,-0.0755,-0.0291,0.3998,0.3970,0.4041,0.4069
69930,0.453278,0.0000,0.3646,4.3092,4.8366,-0.0755,-0.0291,0.3998,0.3970,0.4041,0.4069
69931,0.464362,0.0000,0.3646,4.3092,4.8366,-0.0755,-0.0291,0.3998,0.3970,0.4041,0.4069
69932,0.474515,0.0000,0.4186,4.3106,4.8338,-0.0741,-0.0305,0.4012,0.3914,0.4027,0.4012
69933,0.484654,0.0000,0.4186,4.3106,4.8338,-0.0741,-0.0305,0.4012,0.3914,0.4027,0.4012
69934,0.494804,0.0000,0.4186,4.3106,4.8338,-0.0741,-0.0305,0.4012,0.3914,0.4027,0.4012
69935,0.504956,0.0000,0.4186,4.3106,4.8338,-0.0741,-0.0305,0.4012,0.3914,0.4027,0.4012
69936,0.515103,0.0000,0.4186,4.3106,4.8338,-0.0741,-0.0305,0.4012,0.3914,0.4027,0.4012
69937,0.525516,0.0000,0.4744,4.3120,4.8338,-0.0727,-0.0305,0.3956,0.3970,0.4069,0.4027
69938,0.535833,0.0000,0.4744,4.3120,4.8338,-0.0727,-0.0305,0.3956,0.3970,0.4069,0.4027
69939,0.546052,0.0000,0.4744,4.3120,4.8338,-0.0727,-0.0305,0.3956,0.3970,0.4069,0.4027
69940,0.556265,0.0000,0.4744,4.3120,4.8338,-0.0727,-0.0305,0.3956,0.3970,0.4069,0.4027
69941,0.566539,0.0000,0.4744,4.3120,4.8338,-0.0727,-0.0305,0.3956,0.3970,0.4069,0.4027
69942,0.576841,0.0000,0.5260,4.3078,4.8338,-0.0741,-0.0333,0.3984,0.4055,0.3998,0.4097
69943,0.596819,0.0000,0.5260,4.3078,4.8338,-0.0741,-0.0333,0.3984,0.4055,0.3998,0.4097
69944,0.612001,0.0000,0.5260,4.3078,4.8338,-0.0741,-0.0333,0.3984,0.4055,0.3998,0.4097
69945,0.622389,0.0000,0.5785,4.3120,4.8323,-0.0741,-0.0389,0.3928,0.3998,0.4041,0.4097
69946,0.637912,0.0000,0.5785,4.3120,4.8323,-0.0741,-0.0389,0.3928,0.3998,0.4041,0.4097
69947,0.653556,0.0000,0.5785,4.3120,4.8323,-0.0741,-0.0389,0.3928,0.3998,0.4041,0.4097
