step_id,time,desired_p_3,desired_p_8,measured_p_3_1,measured_p_3_2,measured_p_3_3,measured_p_3_4,measured_p_8_1,measured_p_8_2,measured_p_8_3,measured_p_8_4
93119,0.021269,0.0000,0.0000,4.3205,4.8323,-0.0712,-0.0361,0.3998,0.3970,0.4012,0.4012
93120,0.046881,0.0000,0.0000,4.3205,4.8323,-0.0712,-0.0361,0.3998,0.3970,0.4012,0.4012
93121,0.058244,0.0000,0.0000,4.3205,4.8323,-0.0712,-0.0361,0.3998,0.3970,0.4012,0.4012
93122,0.074187,0.0000,0.0000,4.3205,4.8323,-0.0712,-0.0361,0.3998,0.3970,0.4012,0.4012
93123,0.086695,0.0000,0.0000,4.3205,4.8323,-0.0712,-0.0361,0.3998,0.3970,0.4012,0.4012
93124,0.098907,0.0000,0.0000,4.3205,4.8323,-0.0712,-0.0361,0.3998,0.3970,0.4012,0.4012
93125,0.111598,0.0000,0.0182,4.3275,4.8323,-0.0741,-0.0375,0.3773,0.3816,0.3900,0.3787
93126,0.121981,0.0000,0.0182,4.3275,4.8323,-0.0741,-0.0375,0.3773,0.3816,0.3900,0.3787
93127,0.137488,0.0000,0.0182,4.3275,4.8323,-0.0741,-0.0375,0.3773,0.3816,0.3900,0.3787
93128,0.153532,0.0000,0.0182,4.3275,4.8323,-0.0741,-0.0375,0.3773,0.3816,0.3900,0.3787
93129,0.167843,0.0000,0.0182,4.3275,4.8323,-0.0741,-0.0375,0.3773,0.3816,0.3900,0.3787
93130,0.179099,0.0000,0.0182,4.3275,4.8323,-0.0741,-0.0375,0.3773,0.3816,0.3900,0.3787
93131,0.190451,0.0000,0.0608,4.3233,4.8338,-0.0712,-0.0375,0.3886,0.4069,0.4055,0.3984
93132,0.200575,0.0000,0.0608,4.3233,4.8338,-0.0712,-0.0375,0.3886,0.4069,0.4055,0.3984
93133,0.213101,0.0000,0.0608,4.3233,4.8338,-0.0712,-0.0375,0.3886,0.4069,0.4055,0.3984
93134,0.224358,0.0000,0.0608,4.3233,4.8338,-0.0712,-0.0375,0.3886,0.4069,0.4055,0.3984
93135,0.235108,0.0000,0.0608,4.3233,4.8338,-0.0712,-0.0375,0.3886,0.4069,0.4055,0.3984
93136,0.245581,0.0000,0.0979,4.3247,4.8323,-0.0712,-0.0389,0.3928,0.3900,0.3984,0.3900
93137,0.256031,0.0000,0.0979,4.3247,4.8323,-0.0712,-0.0389,0.3928,0.3900,0.3984,0.3900
