step_id,time,desired_p_3,desired_p_8,measured_p_3_1,measured_p_3_2,measured_p_3_3,measured_p_3_4,measured_p_8_1,measured_p_8_2,measured_p_8_3,measured_p_8_4
234546,0.016911,0.0000,0.0000,4.3373,4.8366,-0.0755,-0.0375,0.3872,0.3886,0.4055,0.3928
234547,0.027190,0.0000,0.0000,4.3373,4.8366,-0.0755,-0.0375,0.3872,0.3886,0.4055,0.3928
234548,0.042506,0.0000,0.0000,4.3373,4.8366,-0.0755,-0.0375,0.3872,0.3886,0.4055,0.3928
234549,0.053770,0.0000,0.0000,4.3373,4.8366,-0.0755,-0.0375,0.3872,0.3886,0.4055,0.3928
234550,0.072984,0.0000,0.0000,4.3373,4.8366,-0.0755,-0.0375,0.3872,0.3886,0.4055,0.3928
234551,0.089280,0.0000,0.0001,4.3373,4.8338,-0.0741,-0.0389,0.3914,0.3886,0.3900,0.4012
234552,0.105863,0.0000,0.0001,4.3373,4.8338,-0.0741,-0.0389,0.3914,0.3886,0.3900,0.4012
234553,0.116402,0.0000,0.0001,4.3373,4.8338,-0.0741,-0.0389,0.3914,0.3886,0.3900,0.4012
234554,0.126606,0.0000,0.0001,4.3373,4.8338,-0.0741,-0.0389,0.3914,0.3886,0.3900,0.4012
234555,0.136792,0.0000,0.0028,4.3430,4.8338,-0.0741,-0.0417,0.3900,0.3886,0.3956,0.3802
234556,0.146944,0.0000,0.0028,4.3430,4.8338,-0.0741,-0.0417,0.3900,0.3886,0.3956,0.3802
234557,0.157113,0.0000,0.0028,4.3430,4.8338,-0.0741,-0.0417,0.3900,0.3886,0.3956,0.3802
234558,0.167334,0.0000,0.0028,4.3430,4.8338,-0.0741,-0.0417,0.3900,0.3886,0.3956,0.3802
234559,0.177544,0.0000,0.0028,4.3430,4.8338,-0.0741,-0.0417,0.3900,0.3886,0.3956,0.3802
234560,0.187684,0.0000,0.0072,4.3388,4.8352,-0.0727,-0.0459,0.3970,0.3956,0.4012,0.4027
234561,0.197817,0.0000,0.0072,4.3388,4.8352,-0.0727,-0.0459,0.3970,0.3956,0.4012,0.4027
234562,0.208033,0.0000,0.0072,4.3388,4.8352,-0.0727,-0.0459,0.3970,0.3956,0.4012,0.4027
234563,0.218260,0.0000,0.0072,4.3388,4.8352,-0.0727,-0.0459,0.3970,0.3956,0.4012,0.4027
234564,0.228564,0.0000,0.0072,4.3388,4.8352,-0.0727,-0.0459,0.3970,0.3956,0.4012,0.4027
234565,0.238923,0.0000,0.0134,4.3388,4.8338,-0.0712,-0.0445,0.3956,0.3886,0.3984,0.4027
234566,0.254497,0.0000,0.0134,4.3388,4.8338,-0.0712,-0.0445,0.3956,0.3886,0.3984,0.4027
234567,0.269694,0.0000,0.0134,4.3388,4.8338,-0.0712,-0.0445,0.3956,0.3886,0.3984,0.4027
234568,0.280305,0.0000,0.0134,4.3388,4.8338,-0.0712,-0.0445,0.3956,0.3886,0.3984,0.4027
234569,0.300641,0.0000,0.0134,4.3388,4.8338,-0.0712,-0.0445,0.3956,0.3886,0.3984,0.4027
234570,0.311653,0.0000,0.0228,4.3373,4.8380,-0.0741,-0.0431,0.3858,0.3914,0.3858,0.3984
234571,0.322958,0.0000,0.0228,4.3373,4.8380,-0.0741,-0.0431,0.3858,0.3914,0.3858,0.3984
234572,0.333798,0.0000,0.0228,4.3373,4.8380,-0.0741,-0.0431,0.3858,0.3914,0.3858,0.3984
234573,0.345985,0.0000,0.0228,4.3373,4.8380,-0.0741,-0.0431,0.3858,0.3914,0.3858,0.3984
234574,0.358009,0.0000,0.0228,4.3373,4.8380,-0.0741,-0.0431,0.3858,0.3914,0.3858,0.3984
234575,0.368321,0.0000,0.0359,4.3359,4.8366,-0.0727,-0.0417,0.3886,0.3928,0.3928,0.3844
234576,0.378484,0.0000,0.0359,4.3359,4.8366,-0.0727,-0.0417,0.3886,0.3928,0.3928,0.3844
234577,0.388672,0.0000,0.0359,4.3359,4.8366,-0.0727,-0.0417,0.3886,0.3928,0.3928,0.3844
234578,0.398812,0.0000,0.0359,4.3359,4.8366,-0.0727,-0.0417,0.3886,0.3928,0.3928,0.3844
234579,0.408989,0.0000,0.0359,4.3359,4.8366,-0.0727,-0.0417,0.3886,0.3928,0.3928,0.3844
234580,0.419153,0.0000,0.0493,4.3402,4.8338,-0.0741,-0.0459,0.3942,0.3844,0.4041,0.4012
234581,0.429389,0.0000,0.0493,4.3402,4.8338,-0.0741,-0.0459,0.3942,0.3844,0.4041,0.4012
234582,0.439669,0.0000,0.0493,4.3402,4.8338,-0.0741,-0.0459,0.3942,0.3844,0.4041,0.4012
234583,0.449843,0.0000,0.0493,4.3402,4.8338,-0.0741,-0.0459,0.3942,0.3844,0.4041,0.4012
234584,0.460034,0.0000,0.0493,4.3402,4.8338,-0.0741,-0.0459,0.3942,0.3844,0.4041,0.4012
234585,0.470247,0.0000,0.0639,4.3402,4.8323,-0.0741,-0.0473,0.3956,0.3914,0.3970,0.3998
234586,0.483952,0.0000,0.0639,4.3402,4.8323,-0.0741,-0.0473,0.3956,0.3914,0.3970,0.3998
234587,0.504652,0.0000,0.0639,4.3402,4.8323,-0.0741,-0.0473,0.3956,0.3914,0.3970,0.3998
234588,0.515481,0.0000,0.0639,4.3402,4.8323,-0.0741,-0.0473,0.3956,0.3914,0.3970,0.3998
234589,0.533073,0.0000,0.0639,4.3402,4.8323,-0.0741,-0.0473,0.3956,0.3914,0.3970,0.3998
234590,0.548584,0.0000,0.0821,4.3388,4.8323,-0.0727,-0.0459,0.3844,0.3914,0.3942,0.3914
234591,0.564607,0.0000,0.0821,4.3388,4.8323,-0.0727,-0.0459,0.3844,0.3914,0.3942,0.3914
234592,0.575205,0.0000,0.0821,4.3388,4.8323,-0.0727,-0.0459,0.3844,0.3914,0.3942,0.3914
234593,0.585405,0.0000,0.0821,4.3388,4.8323,-0.0727,-0.0459,0.3844,0.3914,0.3942,0.3914
234594,0.595661,0.0000,0.1054,4.3359,4.8352,-0.0755,-0.0459,0.3872,0.3942,0.3900,0.4012
234595,0.605812,0.0000,0.1054,4.3359,4.8352,-0.0755,-0.0459,0.3872,0.3942,0.3900,0.4012
234596,0.616096,0.0000,0.1054,4.3359,4.8352,-0.0755,-0.0459,0.3872,0.3942,0.3900,0.4012
234597,0.626311,0.0000,0.1054,4.3359,4.8352,-0.0755,-0.0459,0.3872,0.3942,0.3900,0.4012
234598,0.636533,0.0000,0.1054,4.3359,4.8352,-0.0755,-0.0459,0.3872,0.3942,0.3900,0.4012
234599,0.646680,0.0000,0.1273,4.3402,4.8309,-0.0741,-0.0459,0.3914,0.3956,0.3956,0.4012
