step_id,time,desired_p_3,desired_p_8,measured_p_3_1,measured_p_3_2,measured_p_3_3,measured_p_3_4,measured_p_8_1,measured_p_8_2,measured_p_8_3,measured_p_8_4
81512,0.020418,0.0000,0.0000,4.3191,4.8380,-0.0727,-0.0319,0.3998,0.3998,0.4083,0.4083
81513,0.035929,0.0000,0.0000,4.3205,4.8309,-0.0741,-0.0291,0.3900,0.3970,0.4012,0.4041
81514,0.051452,0.0000,0.0000,4.3205,4.8309,-0.0741,-0.0291,0.3900,0.3970,0.4012,0.4041
81515,0.069210,0.0000,0.0000,4.3205,4.8309,-0.0741,-0.0291,0.3900,0.3970,0.4012,0.4041
81516,0.081835,0.0000,0.0000,4.3205,4.8309,-0.0741,-0.0291,0.3900,0.3970,0.4012,0.4041
81517,0.095822,0.0000,0.0000,4.3205,4.8309,-0.0741,-0.0291,0.3900,0.3970,0.4012,0.4041
81518,0.111774,0.0000,0.0359,4.3177,4.8352,-0.0741,-0.0333,0.3914,0.3942,0.3984,0.3956
81519,0.128654,0.0000,0.0359,4.3177,4.8352,-0.0741,-0.0333,0.3914,0.3942,0.3984,0.3956
81520,0.145969,0.0000,0.0359,4.3177,4.8352,-0.0741,-0.0333,0.3914,0.3942,0.3984,0.3956
81521,0.157942,0.0000,0.0359,4.3177,4.8352,-0.0741,-0.0333,0.3914,0.3942,0.3984,0.3956
81522,0.173391,0.0000,0.1159,4.3205,4.8352,-0.0741,-0.0347,0.3928,0.3886,0.3998,0.3773
81523,0.188719,0.0000,0.1159,4.3205,4.8352,-0.0741,-0.0347,0.3928,0.3886,0.3998,0.3773
81524,0.199035,0.0000,0.1159,4.3205,4.8352,-0.0741,-0.0347,0.3928,0.3886,0.3998,0.3773
81525,0.210386,0.0000,0.1159,4.3205,4.8352,-0.0741,-0.0347,0.3928,0.3886,0.3998,0.3773
81526,0.222067,0.0000,0.1159,4.3205,4.8352,-0.0741,-0.0347,0.3928,0.3886,0.3998,0.3773
81527,0.236244,0.0000,0.1732,4.3177,4.8338,-0.0741,-0.0361,0.3984,0.3900,0.4083,0.4041
81528,0.247636,0.0000,0.1732,4.3177,4.8338,-0.0741,-0.0361,0.3984,0.3900,0.4083,0.4041
81529,0.258048,0.0000,0.1732,4.3177,4.8338,-0.0741,-0.0361,0.3984,0.3900,0.4083,0.4041
81530,0.268454,0.0000,0.1732,4.3177,4.8338,-0.0741,-0.0361,0.3984,0.3900,0.4083,0.4041
81531,0.278591,0.0000,0.2351,4.3191,4.8338,-0.0727,-0.0375,0.3928,0.3942,0.4012,0.3956
81532,0.288726,0.0000,0.2351,4.3191,4.8338,-0.0727,-0.0375,0.3928,0.3942,0.4012,0.3956
