step_id,time,desired_p_3,desired_p_8,measured_p_3_1,measured_p_3_2,measured_p_3_3,measured_p_3_4,measured_p_8_1,measured_p_8_2,measured_p_8_3,measured_p_8_4
269992,0.010823,0.0000,0.0000,4.3613,4.8338,-0.0727,-0.0291,0.3844,0.3886,0.4012,0.4041
269993,0.021023,0.0000,0.0000,4.3655,4.8352,-0.0755,-0.0277,0.3914,0.3928,0.4041,0.3984
269994,0.033161,0.0000,0.0000,4.3655,4.8352,-0.0755,-0.0277,0.3914,0.3928,0.4041,0.3984
269995,0.044011,0.0000,0.0000,4.3655,4.8352,-0.0755,-0.0277,0.3914,0.3928,0.4041,0.3984
269996,0.054566,0.0000,0.0000,4.3655,4.8352,-0.0755,-0.0277,0.3914,0.3928,0.4041,0.3984
269997,0.069783,0.0000,0.0000,4.3655,4.8352,-0.0755,-0.0277,0.3914,0.3928,0.4041,0.3984
269998,0.090941,0.0000,0.0000,4.3655,4.8352,-0.0755,-0.0277,0.3914,0.3928,0.4041,0.3984
269999,0.110025,0.0000,0.0003,4.3627,4.8323,-0.0741,-0.0277,0.3886,0.3858,0.3970,0.3816
270000,0.121008,0.0000,0.0003,4.3627,4.8323,-0.0741,-0.0277,0.3886,0.3858,0.3970,0.3816
270001,0.132931,0.0000,0.0003,4.3627,4.8323,-0.0741,-0.0277,0.3886,0.3858,0.3970,0.3816
270002,0.143105,0.0000,0.0003,4.3627,4.8323,-0.0741,-0.0277,0.3886,0.3858,0.3970,0.3816
270003,0.153244,0.0000,0.0030,4.3641,4.8309,-0.0741,-0.0389,0.3886,0.3928,0.3886,0.3900
270004,0.163369,0.0000,0.0030,4.3641,4.8309,-0.0741,-0.0389,0.3886,0.3928,0.3886,0.3900
270005,0.173472,0.0000,0.0030,4.3641,4.8309,-0.0741,-0.0389,0.3886,0.3928,0.3886,0.3900
270006,0.183576,0.0000,0.0030,4.3641,4.8309,-0.0741,-0.0389,0.3886,0.3928,0.3886,0.3900
270007,0.193720,0.0000,0.0030,4.3641,4.8309,-0.0741,-0.0389,0.3886,0.3928,0.3886,0.3900
270008,0.203870,0.0000,0.0064,4.3683,4.8323,-0.0741,-0.0389,0.3928,0.3956,0.4012,0.4012
270009,0.214006,0.0000,0.0064,4.3683,4.8323,-0.0741,-0.0389,0.3928,0.3956,0.4012,0.4012
270010,0.224244,0.0000,0.0064,4.3683,4.8323,-0.0741,-0.0389,0.3928,0.3956,0.4012,0.4012
270011,0.234425,0.0000,0.0064,4.3683,4.8323,-0.0741,-0.0389,0.3928,0.3956,0.4012,0.4012
270012,0.244585,0.0000,0.0064,4.3683,4.8323,-0.0741,-0.0389,0.3928,0.3956,0.4012,0.4012
270013,0.293597,0.0000,0.0064,4.3683,4.8323,-0.0741,-0.0389,0.3928,0.3956,0.4012,0.4012
270014,0.309703,0.0000,0.0112,4.3669,4.8352,-0.0741,-0.0361,0.3914,0.3914,0.4012,0.4012
270015,0.319980,0.0000,0.0112,4.3669,4.8352,-0.0741,-0.0361,0.3914,0.3914,0.4012,0.4012
270016,0.335151,0.0000,0.0112,4.3669,4.8352,-0.0741,-0.0361,0.3914,0.3914,0.4012,0.4012
270017,0.348072,0.0000,0.0112,4.3669,4.8352,-0.0741,-0.0361,0.3914,0.3914,0.4012,0.4012
270018,0.358711,0.0000,0.0112,4.3669,4.8352,-0.0741,-0.0361,0.3914,0.3914,0.4012,0.4012
270019,0.371103,0.0000,0.0236,4.3655,4.8338,-0.0741,-0.0361,0.3745,0.3675,0.3830,0.3675
270020,0.381805,0.0000,0.0236,4.3655,4.8338,-0.0741,-0.0361,0.3745,0.3675,0.3830,0.3675
270021,0.392027,0.0000,0.0236,4.3655,4.8338,-0.0741,-0.0361,0.3745,0.3675,0.3830,0.3675
270022,0.402213,0.0000,0.0236,4.3655,4.8338,-0.0741,-0.0361,0.3745,0.3675,0.3830,0.3675
270023,0.412530,0.0000,0.0236,4.3655,4.8338,-0.0741,-0.0361,0.3745,0.3675,0.3830,0.3675
270024,0.422750,0.0000,0.0339,4.3641,4.8323,-0.0741,-0.0361,0.3956,0.3886,0.4041,0.3942
270025,0.432925,0.0000,0.0339,4.3641,4.8323,-0.0741,-0.0361,0.3956,0.3886,0.4041,0.3942
270026,0.443164,0.0000,0.0339,4.3641,4.8323,-0.0741,-0.0361,0.3956,0.3886,0.4041,0.3942
270027,0.453415,0.0000,0.0339,4.3641,4.8323,-0.0741,-0.0361,0.3956,0.3886,0.4041,0.3942
270028,0.463641,0.0000,0.0339,4.3641,4.8323,-0.0741,-0.0361,0.3956,0.3886,0.4041,0.3942
270029,0.473857,0.0000,0.0440,4.3655,4.8338,-0.0727,-0.0389,0.3928,0.3928,0.3998,0.4012
270030,0.484096,0.0000,0.0440,4.3655,4.8338,-0.0727,-0.0389,0.3928,0.3928,0.3998,0.4012
270031,0.494475,0.0000,0.0440,4.3655,4.8338,-0.0727,-0.0389,0.3928,0.3928,0.3998,0.4012
270032,0.504742,0.0000,0.0440,4.3655,4.8338,-0.0727,-0.0389,0.3928,0.3928,0.3998,0.4012
270033,0.524407,0.0000,0.0440,4.3655,4.8338,-0.0727,-0.0389,0.3928,0.3928,0.3998,0.4012
