step_id,time,desired_p_3,desired_p_8,measured_p_3_1,measured_p_3_2,measured_p_3_3,measured_p_3_4,measured_p_8_1,measured_p_8_2,measured_p_8_3,measured_p_8_4
1,0.015037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.032243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.045391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0.055902,0.0000,0.0000,4.2839,4.8309,-0.0684,0.0356,0.3577,0.3717,0.3689,0.3886
5,0.071366,0.0000,0.0000,4.2839,4.8309,-0.0684,0.0356,0.3577,0.3717,0.3689,0.3886
6,0.082735,0.0000,0.0000,4.2839,4.8309,-0.0684,0.0356,0.3577,0.3717,0.3689,0.3886
7,0.097952,0.0000,0.0000,4.2839,4.8309,-0.0684,0.0356,0.3577,0.3717,0.3689,0.3886
8,0.110004,0.0000,0.0000,4.2839,4.8309,-0.0684,0.0356,0.3577,0.3717,0.3689,0.3886
9,0.122834,0.0000,0.0000,4.2839,4.8309,-0.0684,0.0356,0.3577,0.3717,0.3689,0.3886
10,0.147079,0.0000,0.0620,4.2811,4.8309,-0.0741,0.0328,0.3998,0.3998,0.4012,0.3844
11,0.158812,0.0000,0.0620,4.2811,4.8309,-0.0741,0.0328,0.3998,0.3998,0.4012,0.3844
12,0.182342,0.0000,0.0620,4.2811,4.8309,-0.0741,0.0328,0.3998,0.3998,0.4012,0.3844
13,0.201366,0.0000,0.0620,4.2811,4.8309,-0.0741,0.0328,0.3998,0.3998,0.4012,0.3844
14,0.239408,0.0000,0.1545,4.2825,4.8338,-0.0755,0.0328,0.3914,0.3998,0.3956,0.3858
15,0.250818,0.0000,0.1545,4.2825,4.8338,-0.0755,0.0328,0.3914,0.3998,0.3956,0.3858
16,0.265377,0.0000,0.1545,4.2825,4.8338,-0.0755,0.0328,0.3914,0.3998,0.3956,0.3858
17,0.275725,0.0000,0.1545,4.2825,4.8338,-0.0755,0.0328,0.3914,0.3998,0.3956,0.3858
18,0.294003,0.0000,0.1545,4.2825,4.8338,-0.0755,0.0328,0.3914,0.3998,0.3956,0.3858
19,0.306502,0.0000,0.2167,4.2839,4.8352,-0.0741,0.0258,0.3914,0.4012,0.3970,0.3900
20,0.316971,0.0000,0.2167,4.2839,4.8352,-0.0741,0.0258,0.3914,0.4012,0.3970,0.3900
21,0.332125,0.0000,0.2167,4.2839,4.8352,-0.0741,0.0258,0.3914,0.4012,0.3970,0.3900
22,0.343476,0.0000,0.2167,4.2839,4.8352,-0.0741,0.0258,0.3914,0.4012,0.3970,0.3900
23,0.354278,0.0000,0.3064,4.2839,4.8323,-0.0727,0.0356,0.3984,0.3984,0.4083,0.3970
24,0.375816,0.0000,0.3064,4.2839,4.8323,-0.0727,0.0356,0.3984,0.3984,0.4083,0.3970
25,0.385965,0.0000,0.3064,4.2839,4.8323,-0.0727,0.0356,0.3984,0.3984,0.4083,0.3970
26,0.396102,0.0000,0.3064,4.2839,4.8323,-0.0727,0.0356,0.3984,0.3984,0.4083,0.3970
27,0.406490,0.0000,0.3064,4.2839,4.8323,-0.0727,0.0356,0.3984,0.3984,0.4083,0.3970
28,0.416914,0.0000,0.3064,4.2839,4.8323,-0.0727,0.0356,0.3984,0.3984,0.4083,0.3970
29,0.427212,0.0000,0.3627,4.2769,4.8338,-0.0741,0.0286,0.3998,0.3956,0.4055,0.4041
30,0.438366,0.0000,0.3627,4.2769,4.8338,-0.0741,0.0286,0.3998,0.3956,0.4055,0.4041
31,0.448612,0.0000,0.3627,4.2769,4.8338,-0.0741,0.0286,0.3998,0.3956,0.4055,0.4041
32,0.458769,0.0000,0.3627,4.2769,4.8338,-0.0741,0.0286,0.3998,0.3956,0.4055,0.4041
33,0.469222,0.0000,0.3627,4.2769,4.8338,-0.0741,0.0286,0.3998,0.3956,0.4055,0.4041
34,0.479401,0.0000,0.4285,4.2783,4.8338,-0.0741,0.0272,0.4083,0.4069,0.4097,0.4041
35,0.490260,0.0000,0.4285,4.2783,4.8338,-0.0741,0.0272,0.4083,0.4069,0.4097,0.4041
36,0.500442,0.0000,0.4285,4.2783,4.8338,-0.0741,0.0272,0.4083,0.4069,0.4097,0.4041
37,0.510609,0.0000,0.4285,4.2783,4.8338,-0.0741,0.0272,0.4083,0.4069,0.4097,0.4041
38,0.521099,0.0000,0.4285,4.2783,4.8338,-0.0741,0.0272,0.4083,0.4069,0.4097,0.4041
39,0.531978,0.0000,0.4832,4.2783,4.8366,-0.0727,0.0258,0.3998,0.4069,0.3970,0.4125
40,0.542182,0.0000,0.4832,4.2783,4.8366,-0.0727,0.0258,0.3998,0.4069,0.3970,0.4125
41,0.561653,0.0000,0.4832,4.2783,4.8366,-0.0727,0.0258,0.3998,0.4069,0.3970,0.4125
42,0.580267,0.0000,0.5369,4.2769,4.8338,-0.0727,0.0258,0.3956,0.4012,0.4069,0.4055
43,0.604224,0.0000,0.5369,4.2769,4.8338,-0.0727,0.0258,0.3956,0.4012,0.4069,0.4055
44,0.621611,0.0000,0.5369,4.2769,4.8338,-0.0727,0.0258,0.3956,0.4012,0.4069,0.4055
45,0.635572,0.0000,0.5369,4.2769,4.8338,-0.0727,0.0258,0.3956,0.4012,0.4069,0.4055
46,0.645713,0.0000,0.5369,4.2769,4.8338,-0.0727,0.0258,0.3956,0.4012,0.4069,0.4055
47,0.659053,0.0000,0.5955,4.2783,4.8338,-0.0741,0.0173,0.3942,0.3914,0.4055,0.3928
48,0.669999,0.0000,0.5955,4.2783,4.8338,-0.0741,0.0173,0.3942,0.3914,0.4055,0.3928
49,0.691738,0.0000,0.5955,4.2783,4.8338,-0.0741,0.0173,0.3942,0.3914,0.4055,0.3928
50,0.707089,0.0000,0.5955,4.2783,4.8338,-0.0741,0.0173,0.3942,0.3914,0.4055,0.3928
51,0.728395,0.0000,0.6592,4.2769,4.8338,-0.0698,0.0159,0.3970,0.3984,0.4097,0.4055
52,0.742416,0.0000,0.6592,4.2769,4.8338,-0.0698,0.0159,0.3970,0.3984,0.4097,0.4055
53,0.753856,0.0000,0.6592,4.2769,4.8338,-0.0698,0.0159,0.3970,0.3984,0.4097,0.4055
54,0.770266,0.0000,0.6592,4.2769,4.8338,-0.0698,0.0159,0.3970,0.3984,0.4097,0.4055
55,0.789075,0.0000,0.6592,4.2769,4.8338,-0.0698,0.0159,0.3970,0.3984,0.4097,0.4055
56,0.804408,0.0000,0.7283,4.2755,4.8352,-0.0741,0.0216,0.3942,0.3928,0.4027,0.3928
57,0.819612,0.0000,0.7283,4.2755,4.8352,-0.0741,0.0216,0.3942,0.3928,0.4027,0.3928
58,0.830365,0.0000,0.7283,4.2755,4.8352,-0.0741,0.0216,0.3942,0.3928,0.4027,0.3928
59,0.844177,0.0000,0.7283,4.2755,4.8352,-0.0741,0.0216,0.3942,0.3928,0.4027,0.3928
60,0.857090,0.0000,0.8043,4.2741,4.8338,-0.0684,0.0258,0.3970,0.4041,0.3998,0.4041
61,0.867900,0.0000,0.8043,4.2741,4.8338,-0.0684,0.0258,0.3970,0.4041,0.3998,0.4041
62,0.878630,0.0000,0.8043,4.2741,4.8338,-0.0684,0.0258,0.3970,0.4041,0.3998,0.4041
63,0.888776,0.0000,0.8043,4.2741,4.8338,-0.0684,0.0258,0.3970,0.4041,0.3998,0.4041
64,0.899048,0.0000,0.8043,4.2741,4.8338,-0.0684,0.0258,0.3970,0.4041,0.3998,0.4041
65,0.909411,0.0000,0.8620,4.2769,4.8352,-0.0712,0.0258,0.3942,0.4027,0.4055,0.4111
66,0.919953,0.0000,0.8620,4.2769,4.8352,-0.0712,0.0258,0.3942,0.4027,0.4055,0.4111
67,0.930199,0.0000,0.8620,4.2769,4.8352,-0.0712,0.0258,0.3942,0.4027,0.4055,0.4111
68,0.941220,0.0000,0.8620,4.2769,4.8352,-0.0712,0.0258,0.3942,0.4027,0.4055,0.4111
69,0.951460,0.0000,0.8620,4.2769,4.8352,-0.0712,0.0258,0.3942,0.4027,0.4055,0.4111
70,0.962347,0.0000,0.9182,4.2741,4.8323,-0.0712,0.0244,0.3970,0.4041,0.4097,0.4125
71,0.972861,0.0000,0.9182,4.2741,4.8323,-0.0712,0.0244,0.3970,0.4041,0.4097,0.4125
72,0.983455,0.0000,0.9182,4.2741,4.8323,-0.0712,0.0244,0.3970,0.4041,0.4097,0.4125
73,0.993713,0.0000,0.9182,4.2741,4.8323,-0.0712,0.0244,0.3970,0.4041,0.4097,0.4125
74,1.004669,0.0000,0.9182,4.2741,4.8323,-0.0712,0.0244,0.3970,0.4041,0.4097,0.4125
75,1.014886,0.0000,0.9722,4.2783,4.8338,-0.0698,0.0258,0.3984,0.3970,0.4111,0.4083
76,1.024997,0.0000,0.9722,4.2783,4.8338,-0.0698,0.0258,0.3984,0.3970,0.4111,0.4083
77,1.044203,0.0000,0.9722,4.2783,4.8338,-0.0698,0.0258,0.3984,0.3970,0.4111,0.4083
78,1.063721,0.0000,0.9722,4.2783,4.8338,-0.0698,0.0258,0.3984,0.3970,0.4111,0.4083
79,1.077005,0.0000,1.0242,4.2769,4.8338,-0.0712,0.0300,0.4041,0.4027,0.4027,0.4041
80,1.089264,0.0000,1.0242,4.2769,4.8338,-0.0712,0.0300,0.4041,0.4027,0.4027,0.4041
81,1.104132,0.0000,1.0242,4.2769,4.8338,-0.0712,0.0300,0.4041,0.4027,0.4027,0.4041
82,1.119441,0.0000,1.0242,4.2769,4.8338,-0.0712,0.0300,0.4041,0.4027,0.4027,0.4041
83,1.139028,0.0000,1.0242,4.2769,4.8338,-0.0712,0.0300,0.4041,0.4027,0.4027,0.4041
84,1.156687,0.0000,1.0885,4.2797,4.8338,-0.0712,0.0356,0.3942,0.3956,0.3984,0.3886
85,1.171538,0.0000,1.0885,4.2797,4.8338,-0.0712,0.0356,0.3942,0.3956,0.3984,0.3886
86,1.183893,0.0000,1.0885,4.2797,4.8338,-0.0712,0.0356,0.3942,0.3956,0.3984,0.3886
87,1.194295,0.0000,1.0885,4.2797,4.8338,-0.0712,0.0356,0.3942,0.3956,0.3984,0.3886
88,1.204518,0.0000,1.1566,4.2755,4.8338,-0.0727,0.0314,0.3984,0.4083,0.4012,0.4012
89,1.214747,0.0000,1.1566,4.2755,4.8338,-0.0727,0.0314,0.3984,0.4083,0.4012,0.4012
90,1.224886,0.0000,1.1566,4.2755,4.8338,-0.0727,0.0314,0.3984,0.4083,0.4012,0.4012
91,1.236485,0.0000,1.1566,4.2755,4.8338,-0.0727,0.0314,0.3984,0.4083,0.4012,0.4012
92,1.246680,0.0000,1.1566,4.2755,4.8338,-0.0727,0.0314,0.3984,0.4083,0.4012,0.4012
93,1.256819,0.0000,1.2095,4.2797,4.8338,-0.0741,0.0328,0.4041,0.3900,0.4111,0.4041
94,1.266992,0.0000,1.2095,4.2797,4.8338,-0.0741,0.0328,0.4041,0.3900,0.4111,0.4041
95,1.277140,0.0000,1.2095,4.2797,4.8338,-0.0741,0.0328,0.4041,0.3900,0.4111,0.4041
96,1.287304,0.0000,1.2095,4.2797,4.8338,-0.0741,0.0328,0.4041,0.3900,0.4111,0.4041
97,1.302529,0.0000,1.2095,4.2797,4.8338,-0.0741,0.0328,0.4041,0.3900,0.4111,0.4041
98,1.320948,0.0000,1.2617,4.2769,4.8323,-0.0727,0.0328,0.3998,0.4055,0.4041,0.4055
99,1.340913,0.0000,1.2617,4.2769,4.8323,-0.0727,0.0328,0.3998,0.4055,0.4041,0.4055
100,1.356106,0.0000,1.2617,4.2769,4.8323,-0.0727,0.0328,0.3998,0.4055,0.4041,0.4055
101,1.370491,0.0000,1.2617,4.2769,4.8323,-0.0727,0.0328,0.3998,0.4055,0.4041,0.4055
102,1.385698,0.0000,1.2617,4.2769,4.8323,-0.0727,0.0328,0.3998,0.4055,0.4041,0.4055
103,1.396312,0.0000,1.3202,4.2783,4.8338,-0.0727,0.0356,0.3858,0.3970,0.3928,0.3872
104,1.408364,0.0000,1.3202,4.2783,4.8338,-0.0727,0.0356,0.3858,0.3970,0.3928,0.3872
105,1.426137,0.0000,1.3202,4.2783,4.8338,-0.0727,0.0356,0.3858,0.3970,0.3928,0.3872
106,1.438611,0.0000,1.3202,4.2783,4.8338,-0.0727,0.0356,0.3858,0.3970,0.3928,0.3872
107,1.448768,0.0000,1.3202,4.2783,4.8338,-0.0727,0.0356,0.3858,0.3970,0.3928,0.3872
108,1.459437,0.0000,1.4079,4.2755,4.8338,-0.0698,0.0398,0.4027,0.3942,0.4027,0.4012
109,1.469616,0.0000,1.4079,4.2755,4.8338,-0.0698,0.0398,0.4027,0.3942,0.4027,0.4012
110,1.479782,0.0000,1.4079,4.2755,4.8338,-0.0698,0.0398,0.4027,0.3942,0.4027,0.4012
111,1.491281,0.0000,1.4079,4.2755,4.8338,-0.0698,0.0398,0.4027,0.3942,0.4027,0.4012
112,1.501468,0.0000,1.4079,4.2755,4.8338,-0.0698,0.0398,0.4027,0.3942,0.4027,0.4012
113,1.511663,0.0000,1.4634,4.2783,4.8352,-0.0712,0.0511,0.4027,0.3984,0.4055,0.4111
114,1.521864,0.0000,1.4634,4.2783,4.8352,-0.0712,0.0511,0.4027,0.3984,0.4055,0.4111
115,1.531987,0.0000,1.4634,4.2783,4.8352,-0.0712,0.0511,0.4027,0.3984,0.4055,0.4111
116,1.542138,0.0000,1.4634,4.2783,4.8352,-0.0712,0.0511,0.4027,0.3984,0.4055,0.4111
117,1.552274,0.0000,1.4634,4.2783,4.8352,-0.0712,0.0511,0.4027,0.3984,0.4055,0.4111
118,1.568699,0.0000,1.5170,4.2769,4.8338,-0.0741,0.0778,0.3984,0.4083,0.4055,0.4167
119,1.589359,0.0000,1.5170,4.2769,4.8338,-0.0741,0.0778,0.3984,0.4083,0.4055,0.4167
120,1.599760,0.0000,1.5170,4.2769,4.8338,-0.0741,0.0778,0.3984,0.4083,0.4055,0.4167
121,1.617860,0.0000,1.5170,4.2769,4.8338,-0.0741,0.0778,0.3984,0.4083,0.4055,0.4167
122,1.628252,0.0000,1.5738,4.2783,4.8323,-0.0755,0.1341,0.4012,0.3928,0.4069,0.4012
123,1.641214,0.0000,1.5738,4.2783,4.8323,-0.0755,0.1341,0.4012,0.3928,0.4069,0.4012
124,1.655677,0.0000,1.5738,4.2783,4.8323,-0.0755,0.1341,0.4012,0.3928,0.4069,0.4012
125,1.666612,0.0000,1.5738,4.2783,4.8323,-0.0755,0.1341,0.4012,0.3928,0.4069,0.4012
126,1.676777,0.0000,1.5738,4.2783,4.8323,-0.0755,0.1341,0.4012,0.3928,0.4069,0.4012
127,1.687140,0.0000,1.6427,4.2755,4.8323,-0.0684,0.2114,0.3970,0.3998,0.4027,0.4027
128,1.697542,0.0000,1.6427,4.2755,4.8323,-0.0684,0.2114,0.3970,0.3998,0.4027,0.4027
129,1.708096,0.0000,1.6427,4.2755,4.8323,-0.0684,0.2114,0.3970,0.3998,0.4027,0.4027
