step_id,time,desired_p_3,desired_p_8,measured_p_3_1,measured_p_3_2,measured_p_3_3,measured_p_3_4,measured_p_8_1,measured_p_8_2,measured_p_8_3,measured_p_8_4
364714,0.021161,0.0000,0.0000,4.3613,4.8352,-0.0698,-0.0375,0.3900,0.3900,0.3956,0.4027
364715,0.032644,0.0000,0.0000,4.3627,4.8352,-0.0698,-0.0375,0.3900,0.3900,0.3998,0.4012
364716,0.049141,0.0000,0.0000,4.3627,4.8352,-0.0698,-0.0375,0.3900,0.3900,0.3998,0.4012
364717,0.060527,0.0000,0.0000,4.3627,4.8352,-0.0698,-0.0375,0.3900,0.3900,0.3998,0.4012
364718,0.075744,0.0000,0.0000,4.3627,4.8352,-0.0698,-0.0375,0.3900,0.3900,0.3998,0.4012
364719,0.098747,0.0000,0.0000,4.3627,4.8352,-0.0698,-0.0375,0.3900,0.3900,0.3998,0.4012
364720,0.112666,0.0000,0.0001,4.3584,4.8323,-0.0712,-0.0389,0.3900,0.3900,0.3970,0.3830
364721,0.123775,0.0000,0.0001,4.3584,4.8323,-0.0712,-0.0389,0.3900,0.3900,0.3970,0.3830
364722,0.133929,0.0000,0.0001,4.3584,4.8323,-0.0712,-0.0389,0.3900,0.3900,0.3970,0.3830
364723,0.144131,0.0000,0.0001,4.3584,4.8323,-0.0712,-0.0389,0.3900,0.3900,0.3970,0.3830
364724,0.154244,0.0000,0.0008,4.3584,4.8352,-0.0741,-0.0389,0.3858,0.3900,0.3872,0.3984
364725,0.164518,0.0000,0.0008,4.3584,4.8352,-0.0741,-0.0389,0.3858,0.3900,0.3872,0.3984
364726,0.174680,0.0000,0.0008,4.3584,4.8352,-0.0741,-0.0389,0.3858,0.3900,0.3872,0.3984
364727,0.184867,0.0000,0.0008,4.3584,4.8352,-0.0741,-0.0389,0.3858,0.3900,0.3872,0.3984
364728,0.195086,0.0000,0.0008,4.3584,4.8352,-0.0741,-0.0389,0.3858,0.3900,0.3872,0.3984
364729,0.205253,0.0000,0.0008,4.3584,4.8352,-0.0741,-0.0389,0.3858,0.3900,0.3872,0.3984
364730,0.215430,0.0000,0.0017,4.3613,4.8323,-0.0755,-0.0375,0.3900,0.3928,0.4041,0.3956
364731,0.225563,0.0000,0.0017,4.3613,4.8323,-0.0755,-0.0375,0.3900,0.3928,0.4041,0.3956
364732,0.235676,0.0000,0.0017,4.3613,4.8323,-0.0755,-0.0375,0.3900,0.3928,0.4041,0.3956
364733,0.245788,0.0000,0.0017,4.3613,4.8323,-0.0755,-0.0375,0.3900,0.3928,0.4041,0.3956
364734,0.258365,0.0000,0.0017,4.3613,4.8323,-0.0755,-0.0375,0.3900,0.3928,0.4041,0.3956
364735,0.277437,0.0000,0.0029,4.3613,4.8338,-0.0741,-0.0375,0.3928,0.3886,0.3956,0.4012
364736,0.291595,0.0000,0.0029,4.3613,4.8338,-0.0741,-0.0375,0.3928,0.3886,0.3956,0.4012
364737,0.307935,0.0000,0.0029,4.3613,4.8338,-0.0741,-0.0375,0.3928,0.3886,0.3956,0.4012
364738,0.318108,0.0000,0.0029,4.3613,4.8338,-0.0741,-0.0375,0.3928,0.3886,0.3956,0.4012
364739,0.332152,0.0000,0.0029,4.3613,4.8338,-0.0741,-0.0375,0.3928,0.3886,0.3956,0.4012
364740,0.346586,0.0000,0.0047,4.3641,4.8338,-0.0741,-0.0389,0.3886,0.3886,0.3900,0.3900
364741,0.357539,0.0000,0.0047,4.3641,4.8338,-0.0741,-0.0389,0.3886,0.3886,0.3900,0.3900
364742,0.367791,0.0000,0.0047,4.3641,4.8338,-0.0741,-0.0389,0.3886,0.3886,0.3900,0.3900
364743,0.378026,0.0000,0.0047,4.3641,4.8338,-0.0741,-0.0389,0.3886,0.3886,0.3900,0.3900
364744,0.388164,0.0000,0.0074,4.3613,4.8323,-0.0727,-0.0403,0.3886,0.3900,0.4055,0.3970
364745,0.398462,0.0000,0.0074,4.3613,4.8323,-0.0727,-0.0403,0.3886,0.3900,0.4055,0.3970
364746,0.408583,0.0000,0.0074,4.3613,4.8323,-0.0727,-0.0403,0.3886,0.3900,0.4055,0.3970
364747,0.418722,0.0000,0.0074,4.3613,4.8323,-0.0727,-0.0403,0.3886,0.3900,0.4055,0.3970
364748,0.428945,0.0000,0.0074,4.3613,4.8323,-0.0727,-0.0403,0.3886,0.3900,0.4055,0.3970
364749,0.439105,0.0000,0.0074,4.3613,4.8323,-0.0727,-0.0403,0.3886,0.3900,0.4055,0.3970
364750,0.449311,0.0000,0.0098,4.3598,4.8338,-0.0755,-0.0375,0.3928,0.3956,0.4012,0.3956
364751,0.459500,0.0000,0.0098,4.3598,4.8338,-0.0755,-0.0375,0.3928,0.3956,0.4012,0.3956
364752,0.469763,0.0000,0.0098,4.3598,4.8338,-0.0755,-0.0375,0.3928,0.3956,0.4012,0.3956
364753,0.480048,0.0000,0.0098,4.3598,4.8338,-0.0755,-0.0375,0.3928,0.3956,0.4012,0.3956
364754,0.494960,0.0000,0.0098,4.3598,4.8338,-0.0755,-0.0375,0.3928,0.3956,0.4012,0.3956
364755,0.510204,0.0000,0.0125,4.3598,4.8352,-0.0727,-0.0375,0.3984,0.3928,0.4041,0.3998
364756,0.520863,0.0000,0.0125,4.3598,4.8352,-0.0727,-0.0375,0.3984,0.3928,0.4041,0.3998
364757,0.536128,0.0000,0.0125,4.3598,4.8352,-0.0727,-0.0375,0.3984,0.3928,0.4041,0.3998
364758,0.553445,0.0000,0.0125,4.3598,4.8352,-0.0727,-0.0375,0.3984,0.3928,0.4041,0.3998
364759,0.570058,0.0000,0.0160,4.3613,4.8309,-0.0712,-0.0403,0.3928,0.3872,0.3914,0.3956
364760,0.580919,0.0000,0.0160,4.3613,4.8309,-0.0712,-0.0403,0.3928,0.3872,0.3914,0.3956
364761,0.591134,0.0000,0.0160,4.3613,4.8309,-0.0712,-0.0403,0.3928,0.3872,0.3914,0.3956
364762,0.601410,0.0000,0.0160,4.3613,4.8309,-0.0712,-0.0403,0.3928,0.3872,0.3914,0.3956
364763,0.611548,0.0000,0.0200,4.3613,4.8338,-0.0727,-0.0445,0.3956,0.3942,0.3970,0.3956
364764,0.621752,0.0000,0.0200,4.3613,4.8338,-0.0727,-0.0445,0.3956,0.3942,0.3970,0.3956
364765,0.631906,0.0000,0.0200,4.3613,4.8338,-0.0727,-0.0445,0.3956,0.3942,0.3970,0.3956
364766,0.642122,0.0000,0.0200,4.3613,4.8338,-0.0727,-0.0445,0.3956,0.3942,0.3970,0.3956
364767,0.652350,0.0000,0.0200,4.3613,4.8338,-0.0727,-0.0445,0.3956,0.3942,0.3970,0.3956
364768,0.662535,0.0000,0.0200,4.3613,4.8338,-0.0727,-0.0445,0.3956,0.3942,0.3970,0.3956
364769,0.672710,0.0000,0.0238,4.3613,4.8323,-0.0727,-0.0417,0.3942,0.3984,0.4012,0.4055
364770,0.682925,0.0000,0.0238,4.3613,4.8323,-0.0727,-0.0417,0.3942,0.3984,0.4012,0.4055
364771,0.693140,0.0000,0.0238,4.3613,4.8323,-0.0727,-0.0417,0.3942,0.3984,0.4012,0.4055
364772,0.703347,0.0000,0.0238,4.3613,4.8323,-0.0727,-0.0417,0.3942,0.3984,0.4012,0.4055
364773,0.717802,0.0000,0.0238,4.3613,4.8323,-0.0727,-0.0417,0.3942,0.3984,0.4012,0.4055
364774,0.739430,0.0000,0.0279,4.3598,4.8323,-0.0727,-0.0403,0.3942,0.3956,0.3928,0.4083
364775,0.749711,0.0000,0.0279,4.3598,4.8323,-0.0727,-0.0403,0.3942,0.3956,0.3928,0.4083
364776,0.765000,0.0000,0.0279,4.3598,4.8323,-0.0727,-0.0403,0.3942,0.3956,0.3928,0.4083
364777,0.775857,0.0000,0.0279,4.3598,4.8323,-0.0727,-0.0403,0.3942,0.3956,0.3928,0.4083
364778,0.791025,0.0000,0.0279,4.3598,4.8323,-0.0727,-0.0403,0.3942,0.3956,0.3928,0.4083
364779,0.807266,0.0000,0.0337,4.3598,4.8323,-0.0741,-0.0403,0.3816,0.3886,0.3928,0.3759
364780,0.818155,0.0000,0.0337,4.3598,4.8323,-0.0741,-0.0403,0.3816,0.3886,0.3928,0.3759
364781,0.828357,0.0000,0.0337,4.3598,4.8323,-0.0741,-0.0403,0.3816,0.3886,0.3928,0.3759
364782,0.838568,0.0000,0.0337,4.3598,4.8323,-0.0741,-0.0403,0.3816,0.3886,0.3928,0.3759
364783,0.848750,0.0000,0.0401,4.3584,4.8309,-0.0712,-0.0431,0.3928,0.3942,0.4041,0.4012
364784,0.859067,0.0000,0.0401,4.3584,4.8309,-0.0712,-0.0431,0.3928,0.3942,0.4041,0.4012
364785,0.869279,0.0000,0.0401,4.3584,4.8309,-0.0712,-0.0431,0.3928,0.3942,0.4041,0.4012
364786,0.879432,0.0000,0.0401,4.3584,4.8309,-0.0712,-0.0431,0.3928,0.3942,0.4041,0.4012
364787,0.889613,0.0000,0.0401,4.3584,4.8309,-0.0712,-0.0431,0.3928,0.3942,0.4041,0.4012
364788,0.899790,0.0000,0.0401,4.3584,4.8309,-0.0712,-0.0431,0.3928,0.3942,0.4041,0.4012
364789,0.910045,0.0000,0.0454,4.3613,4.8338,-0.0727,-0.0473,0.3900,0.3942,0.3956,0.4012
364790,0.920331,0.0000,0.0454,4.3613,4.8338,-0.0727,-0.0473,0.3900,0.3942,0.3956,0.4012
364791,0.930629,0.0000,0.0454,4.3613,4.8338,-0.0727,-0.0473,0.3900,0.3942,0.3956,0.4012
364792,0.940936,0.0000,0.0454,4.3613,4.8338,-0.0727,-0.0473,0.3900,0.3942,0.3956,0.4012
364793,0.957505,0.0000,0.0454,4.3613,4.8338,-0.0727,-0.0473,0.3900,0.3942,0.3956,0.4012
364794,0.972754,0.0000,0.0511,4.3598,4.8338,-0.0712,-0.0319,0.3900,0.3928,0.4012,0.4041
364795,0.982930,0.0000,0.0511,4.3598,4.8338,-0.0712,-0.0319,0.3900,0.3928,0.4012,0.4041
364796,0.999762,0.0000,0.0511,4.3598,4.8338,-0.0712,-0.0319,0.3900,0.3928,0.4012,0.4041
364797,1.015327,0.0000,0.0511,4.3598,4.8338,-0.0712,-0.0319,0.3900,0.3928,0.4012,0.4041
364798,1.031630,0.0000,0.0582,4.3556,4.8323,-0.0741,-0.0333,0.3816,0.3844,0.3914,0.3900
364799,1.042563,0.0000,0.0582,4.3556,4.8323,-0.0741,-0.0333,0.3816,0.3844,0.3914,0.3900
364800,1.052805,0.0000,0.0582,4.3556,4.8323,-0.0741,-0.0333,0.3816,0.3844,0.3914,0.3900
364801,1.062998,0.0000,0.0582,4.3556,4.8323,-0.0741,-0.0333,0.3816,0.3844,0.3914,0.3900
364802,1.073246,0.0000,0.0655,4.3542,4.8352,-0.0727,-0.0347,0.3956,0.3914,0.4041,0.3956
364803,1.083496,0.0000,0.0655,4.3542,4.8352,-0.0727,-0.0347,0.3956,0.3914,0.4041,0.3956
364804,1.093658,0.0000,0.0655,4.3542,4.8352,-0.0727,-0.0347,0.3956,0.3914,0.4041,0.3956
364805,1.103876,0.0000,0.0655,4.3542,4.8352,-0.0727,-0.0347,0.3956,0.3914,0.4041,0.3956
364806,1.114089,0.0000,0.0655,4.3542,4.8352,-0.0727,-0.0347,0.3956,0.3914,0.4041,0.3956
364807,1.124279,0.0000,0.0655,4.3542,4.8352,-0.0727,-0.0347,0.3956,0.3914,0.4041,0.3956
364808,1.134480,0.0000,0.0722,4.3542,4.8352,-0.0727,-0.0375,0.3942,0.3914,0.4069,0.3956
364809,1.144791,0.0000,0.0722,4.3542,4.8352,-0.0727,-0.0375,0.3942,0.3914,0.4069,0.3956
364810,1.155099,0.0000,0.0722,4.3542,4.8352,-0.0727,-0.0375,0.3942,0.3914,0.4069,0.3956
364811,1.165387,0.0000,0.0722,4.3542,4.8352,-0.0727,-0.0375,0.3942,0.3914,0.4069,0.3956
364812,1.178881,0.0000,0.0722,4.3542,4.8352,-0.0727,-0.0375,0.3942,0.3914,0.4069,0.3956
364813,1.194110,0.0000,0.0793,4.3556,4.8366,-0.0698,-0.0389,0.3970,0.3942,0.3998,0.3970
364814,1.218430,0.0000,0.0793,4.3556,4.8366,-0.0698,-0.0389,0.3970,0.3942,0.3998,0.3970
364815,1.229256,0.0000,0.0793,4.3556,4.8366,-0.0698,-0.0389,0.3970,0.3942,0.3998,0.3970
364816,1.244735,0.0000,0.0877,4.3528,4.8338,-0.0712,-0.0389,0.3872,0.3830,0.3914,0.3956
364817,1.259381,0.0000,0.0877,4.3528,4.8338,-0.0712,-0.0389,0.3872,0.3830,0.3914,0.3956
364818,1.271118,0.0000,0.0877,4.3528,4.8338,-0.0712,-0.0389,0.3872,0.3830,0.3914,0.3956
364819,1.281311,0.0000,0.0877,4.3528,4.8338,-0.0712,-0.0389,0.3872,0.3830,0.3914,0.3956
364820,1.292032,0.0000,0.0877,4.3528,4.8338,-0.0712,-0.0389,0.3872,0.3830,0.3914,0.3956
364821,1.302190,0.0000,0.0975,4.3528,4.8338,-0.0741,-0.0375,0.3914,0.3984,0.3914,0.4069
364822,1.312386,0.0000,0.0975,4.3528,4.8338,-0.0741,-0.0375,0.3914,0.3984,0.3914,0.4069
364823,1.322545,0.0000,0.0975,4.3528,4.8338,-0.0741,-0.0375,0.3914,0.3984,0.3914,0.4069
364824,1.332720,0.0000,0.0975,4.3528,4.8338,-0.0741,-0.0375,0.3914,0.3984,0.3914,0.4069
364825,1.342932,0.0000,0.0975,4.3528,4.8338,-0.0741,-0.0375,0.3914,0.3984,0.3914,0.4069
364826,1.353099,0.0000,0.1056,4.3542,4.8352,-0.0727,-0.0375,0.3830,0.3928,0.3998,0.3984
364827,1.363278,0.0000,0.1056,4.3542,4.8352,-0.0727,-0.0375,0.3830,0.3928,0.3998,0.3984
364828,1.373452,0.0000,0.1056,4.3542,4.8352,-0.0727,-0.0375,0.3830,0.3928,0.3998,0.3984
364829,1.383719,0.0000,0.1056,4.3542,4.8352,-0.0727,-0.0375,0.3830,0.3928,0.3998,0.3984
364830,1.394023,0.0000,0.1056,4.3542,4.8352,-0.0727,-0.0375,0.3830,0.3928,0.3998,0.3984
364831,1.407520,0.0000,0.1056,4.3542,4.8352,-0.0727,-0.0375,0.3830,0.3928,0.3998,0.3984
364832,1.418255,0.0000,0.1056,4.3542,4.8352,-0.0727,-0.0375,0.3830,0.3928,0.3998,0.3984
