step_id,time,desired_p_3,desired_p_8,measured_p_3_1,measured_p_3_2,measured_p_3_3,measured_p_3_4,measured_p_8_1,measured_p_8_2,measured_p_8_3,measured_p_8_4
46628,0.010759,0.0000,0.0000,4.2881,4.8352,-0.0741,-0.0473,0.3970,0.3928,0.4055,0.4083
46629,0.024020,0.0000,0.0000,4.2881,4.8352,-0.0741,-0.0473,0.3970,0.3928,0.4055,0.4083
46630,0.043563,0.0000,0.0000,4.2909,4.8323,-0.0727,-0.0459,0.3970,0.3956,0.4055,0.4027
46631,0.060015,0.0000,0.0000,4.2909,4.8323,-0.0727,-0.0459,0.3970,0.3956,0.4055,0.4027
46632,0.075432,0.0000,0.0000,4.2909,4.8323,-0.0727,-0.0459,0.3970,0.3956,0.4055,0.4027
46633,0.090758,0.0000,0.0000,4.2909,4.8323,-0.0727,-0.0459,0.3970,0.3956,0.4055,0.4027
46634,0.101267,0.0000,0.0396,4.2895,4.8366,-0.0741,-0.0459,0.3928,0.3984,0.3984,0.3984
46635,0.112125,0.0000,0.0396,4.2895,4.8366,-0.0741,-0.0459,0.3928,0.3984,0.3984,0.3984
46636,0.127847,0.0000,0.0396,4.2895,4.8366,-0.0741,-0.0459,0.3928,0.3984,0.3984,0.3984
46637,0.144893,0.0000,0.0396,4.2895,4.8366,-0.0741,-0.0459,0.3928,0.3984,0.3984,0.3984
46638,0.162058,0.0000,0.1011,4.2867,4.8338,-0.0727,-0.0473,0.3956,0.4012,0.4041,0.4041
46639,0.172307,0.0000,0.1011,4.2867,4.8338,-0.0727,-0.0473,0.3956,0.4012,0.4041,0.4041
46640,0.184157,0.0000,0.1011,4.2867,4.8338,-0.0727,-0.0473,0.3956,0.4012,0.4041,0.4041
46641,0.194779,0.0000,0.1011,4.2867,4.8338,-0.0727,-0.0473,0.3956,0.4012,0.4041,0.4041
46642,0.204931,0.0000,0.1011,4.2867,4.8338,-0.0727,-0.0473,0.3956,0.4012,0.4041,0.4041
46643,0.215318,0.0000,0.1619,4.2867,4.8380,-0.0741,-0.0473,0.3984,0.3998,0.4027,0.3886
46644,0.225678,0.0000,0.1619,4.2867,4.8380,-0.0741,-0.0473,0.3984,0.3998,0.4027,0.3886
46645,0.235903,0.0000,0.1619,4.2867,4.8380,-0.0741,-0.0473,0.3984,0.3998,0.4027,0.3886
46646,0.246120,0.0000,0.1619,4.2867,4.8380,-0.0741,-0.0473,0.3984,0.3998,0.4027,0.3886
46647,0.256357,0.0000,0.1619,4.2867,4.8380,-0.0741,-0.0473,0.3984,0.3998,0.4027,0.3886
46648,0.266540,0.0000,0.2212,4.2895,4.8352,-0.0727,-0.0459,0.3942,0.3998,0.4069,0.4083
46649,0.276741,0.0000,0.2212,4.2895,4.8352,-0.0727,-0.0459,0.3942,0.3998,0.4069,0.4083
46650,0.287016,0.0000,0.2212,4.2895,4.8352,-0.0727,-0.0459,0.3942,0.3998,0.4069,0.4083
